vertices,cubes,threads,frame,updateVBO,startup
2000000,250000,4,11.3342,0,434.772
2000000,250000,4,12.0774,0,448.898
2000000,250000,4,12.0514,0,442.112
2000000,250000,4,11.4669,0,433.556
2000000,250000,4,12.2352,0,442.427
2000000,250000,4,11.842,0,434.042
2000000,250000,4,12.0297,0,475.366
2000000,250000,4,11.9955,0,438.488
2000000,250000,4,12.0286,0,435.307
2000000,250000,4,12.0125,0,438.901
2000000,250000,4,11.479,0,447.296
2000000,250000,4,11.339,0,438.561
2000000,250000,4,11.8136,0,441.724
2000000,250000,4,11.3006,0,438.109
2000000,250000,4,13.7135,0,436.71
2000000,250000,4,11.9149,0,442.845
2000000,250000,4,11.9613,0,449.503
2000000,250000,4,11.8615,0,431.81
2000000,250000,4,11.1801,0,446.881
2000000,250000,4,11.9038,0,439.567
2000000,250000,4,11.1462,0,514.676
2000000,250000,4,11.495,0,507.257
2000000,250000,4,12.0552,0,443.683
2000000,250000,4,12.1431,0,443.17
2000000,250000,4,11.2466,0,435.287
2000000,250000,4,11.5109,0,444.787
2000000,250000,4,11.8327,0,439.637
2000000,250000,4,11.3391,0,433.712
2000000,250000,4,11.9811,0,444.961
2000000,250000,4,12.1197,0,439.358
2000000,250000,4,11.3001,0,436.885
2000000,250000,4,11.4082,0,460.509
2000000,250000,4,12.0659,0,437.399
2000000,250000,4,11.6625,0,444.138
2000000,250000,4,12.089,0,435.237
2000000,250000,4,11.0655,0,436.507
